,State,Zip Code,Date,Fuel,Latitude,Longitude
364,NC,28227,6/1/2023,BEV,35.167774,-80.742259
365,NC,28227,6/1/2023,BEV,35.167774,-80.742259
366,NC,28227,3/1/2023,BEV,35.167774,-80.742259
367,NC,28227,8/1/2022,BEV,35.167774,-80.742259
368,NC,28227,9/1/2022,BEV,35.167774,-80.742259
369,NC,28227,11/1/2022,BEV,35.167774,-80.742259
370,NC,28227,8/1/2022,BEV,35.167774,-80.742259
371,NC,28227,5/1/2022,BEV,35.167774,-80.742259
372,NC,28227,1/1/2023,BEV,35.167774,-80.742259
373,NC,28227,5/1/2021,BEV,35.167774,-80.742259
374,NC,28227,5/1/2021,BEV,35.167774,-80.742259
375,NC,28227,12/1/2020,BEV,35.167774,-80.742259
376,NC,28227,7/1/2020,BEV,35.167774,-80.742259
377,NC,28227,4/1/2021,BEV,35.167774,-80.742259
378,NC,28227,6/1/2021,BEV,35.167774,-80.742259
379,NC,28227,9/1/2020,BEV,35.167774,-80.742259
380,NC,28227,9/1/2020,BEV,35.167774,-80.742259
381,NC,28227,8/1/2020,BEV,35.167774,-80.742259
382,NC,28227,11/1/2022,BEV,35.167774,-80.742259
383,NC,28227,10/1/2022,BEV,35.167774,-80.742259
384,NC,28227,10/1/2022,BEV,35.167774,-80.742259
385,NC,28227,12/1/2022,BEV,35.167774,-80.742259
386,NC,28227,1/1/2023,BEV,35.167774,-80.742259
387,NC,28227,7/1/2023,BEV,35.167774,-80.742259
388,NC,28227,7/1/2023,BEV,35.167774,-80.742259
389,NC,28227,8/1/2023,BEV,35.167774,-80.742259
390,NC,28227,9/1/2023,BEV,35.167774,-80.742259
391,NC,28227,11/1/2022,BEV,35.167774,-80.742259
392,NC,28227,12/1/2022,BEV,35.167774,-80.742259
393,NC,28227,9/1/2022,BEV,35.167774,-80.742259
394,NC,28227,11/1/2020,BEV,35.167774,-80.742259
395,NC,28227,9/1/2023,BEV,35.167774,-80.742259
396,NC,28227,10/1/2022,BEV,35.167774,-80.742259
397,NC,28227,5/1/2023,BEV,35.167774,-80.742259
398,NC,28227,12/1/2022,BEV,35.167774,-80.742259
399,NC,28227,12/1/2022,BEV,35.167774,-80.742259
400,NC,28227,10/1/2022,BEV,35.167774,-80.742259
401,NC,28227,1/1/2021,BEV,35.167774,-80.742259
402,NC,28227,11/1/2022,BEV,35.167774,-80.742259
403,NC,28227,4/1/2022,BEV,35.167774,-80.742259
404,NC,28227,9/1/2022,BEV,35.167774,-80.742259
405,NC,28227,8/1/2022,BEV,35.167774,-80.742259
406,NC,28227,8/1/2023,BEV,35.167774,-80.742259
407,NC,28227,3/1/2023,BEV,35.167774,-80.742259
408,NC,28227,7/1/2023,BEV,35.167774,-80.742259
409,NC,28227,6/1/2023,BEV,35.167774,-80.742259
410,NC,28227,9/1/2023,BEV,35.167774,-80.742259
411,NC,28227,2/1/2023,BEV,35.167774,-80.742259
412,NC,28227,12/1/2020,BEV,35.167774,-80.742259
413,NC,28227,5/1/2021,BEV,35.167774,-80.742259
414,NC,28227,9/1/2022,BEV,35.167774,-80.742259
415,NC,28227,9/1/2023,BEV,35.167774,-80.742259
416,NC,28227,7/1/2023,BEV,35.167774,-80.742259
417,NC,28227,8/1/2023,BEV,35.167774,-80.742259
418,NC,28227,7/1/2023,BEV,35.167774,-80.742259
419,NC,28227,9/1/2023,BEV,35.167774,-80.742259
420,NC,28227,5/1/2023,BEV,35.167774,-80.742259
421,NC,28227,7/1/2023,BEV,35.167774,-80.742259
422,NC,28227,3/1/2023,BEV,35.167774,-80.742259
423,NC,28227,1/1/2023,BEV,35.167774,-80.742259
424,NC,28227,9/1/2023,BEV,35.167774,-80.742259
425,NC,28227,5/1/2022,BEV,35.167774,-80.742259
426,NC,28227,9/1/2022,BEV,35.167774,-80.742259
427,NC,28227,1/1/2023,BEV,35.167774,-80.742259
428,NC,28227,2/1/2023,BEV,35.167774,-80.742259
429,NC,28227,9/1/2023,BEV,35.167774,-80.742259
430,NC,28227,8/1/2022,BEV,35.167774,-80.742259
431,NC,28227,8/1/2023,BEV,35.167774,-80.742259
432,NC,28227,11/1/2022,BEV,35.167774,-80.742259
433,NC,28227,6/1/2023,BEV,35.167774,-80.742259
434,NC,28227,11/1/2022,BEV,35.167774,-80.742259
435,NC,28227,12/1/2020,BEV,35.167774,-80.742259
436,NC,28227,4/1/2022,BEV,35.167774,-80.742259
437,NC,28227,2/1/2021,BEV,35.167774,-80.742259
438,NC,28227,5/1/2023,BEV,35.167774,-80.742259
439,NC,28227,1/1/2021,BEV,35.167774,-80.742259
440,NC,28227,12/1/2022,BEV,35.167774,-80.742259
441,NC,28227,12/1/2022,BEV,35.167774,-80.742259
442,NC,28227,10/1/2022,BEV,35.167774,-80.742259
443,NC,28227,10/1/2020,BEV,35.167774,-80.742259
444,NC,28227,6/1/2023,BEV,35.167774,-80.742259
445,NC,28227,4/1/2023,BEV,35.167774,-80.742259
446,NC,28227,3/1/2022,BEV,35.167774,-80.742259
447,NC,28227,5/1/2021,BEV,35.167774,-80.742259
448,NC,28227,11/1/2022,BEV,35.167774,-80.742259
449,NC,28227,8/1/2023,BEV,35.167774,-80.742259
450,NC,28227,11/1/2022,BEV,35.167774,-80.742259
451,NC,28227,10/1/2022,BEV,35.167774,-80.742259
452,NC,28227,1/1/2023,BEV,35.167774,-80.742259
453,NC,28227,10/1/2022,BEV,35.167774,-80.742259
454,NC,28227,9/1/2023,BEV,35.167774,-80.742259
455,NC,28227,7/1/2023,BEV,35.167774,-80.742259
456,NC,28227,9/1/2023,BEV,35.167774,-80.742259
457,NC,28227,11/1/2022,BEV,35.167774,-80.742259
458,NC,28227,6/1/2023,BEV,35.167774,-80.742259
459,NC,28227,7/1/2023,BEV,35.167774,-80.742259
460,NC,28227,6/1/2023,BEV,35.167774,-80.742259
