latitude,longitude,street_address,state,city,zip,country,id,open_date,fuel_type_code
44.261566,-72.58335,136 State St,VT,Montpelier,05602,US,170198,2020-12-16,ELEC
44.877769,-72.60894,57 Main St,VT,Montgomery Center,05471,US,190818,2021-01-10,ELEC
44.448314,-73.219575,180 Queen City Park Rd,VT,Burlington,05401,US,171289,2021-01-14,ELEC
44.463266,-73.215497,585 Pine Street,VT,Burlington,05401,US,171325,2021-01-15,ELEC
44.261623,-72.583305,136 State St,VT,Montpelier,05602,US,181962,2021-01-27,ELEC
44.261467,-72.58337,136 State St,VT,Montpelier,05602,US,181960,2021-01-27,ELEC
44.26156,-72.5833,136 State St,VT,Montpelier,05602,US,181965,2021-01-27,ELEC
44.26142,-72.58336,136 State St,VT,Montpelier,05602,US,181964,2021-01-27,ELEC
44.261692,-72.58326,136 State St,VT,Montpelier,05602,US,181963,2021-01-27,ELEC
44.016118,-73.165259,14 Seminary St,VT,Middlebury,05753,US,171635,2021-01-27,ELEC
44.479031,-73.217482,45 Cherry St,VT,Burlington,05401,US,171706,2021-01-27,ELEC
44.506343,-73.246288,1127 North Ave,VT,Burlington,05408,US,172482,2021-01-27,ELEC
44.408188,-73.218958,3328 Shelburne Rd,VT,Shelburne,05482,US,172827,2021-01-27,ELEC
44.478741,-73.196106,75 Colchester Ave,VT,Burlington,05405,US,181428,2021-01-27,ELEC
44.261918,-72.58172,Governor Aiken Ave,VT,Montpelier,05602,US,173212,2021-01-27,ELEC
43.941749,-72.603679,163 Admin Drive,VT,Randolph Center,05061,US,173986,2021-01-27,ELEC
43.984864,-73.127714,121 Cady Rd,VT,Middlebury,05753,US,174525,2021-01-27,ELEC
43.984993,-73.127797,121 Cady Rd,VT,Middlebury,05753,US,174526,2021-01-27,ELEC
43.055492,-73.15508,608 Warm Brook Rd,VT,Arlington,05250,US,174862,2021-01-27,ELEC
43.11367,-72.90463,7 Village Lodge Rd,VT,Stratton,05360,US,175345,2021-01-27,ELEC
44.261513,-72.58335,136 State St,VT,Montpelier,05602,US,181961,2021-01-27,ELEC
43.822942,-72.598895,1709 VT-107,VT,Bethel,05032,US,175408,2021-01-27,ELEC
44.26184,-72.581758,Governor Aiken Ave,VT,Montpelier,05602,US,173213,2021-01-27,ELEC
43.80051,-73.08953,7 Conant Square,VT,Brandon,05733,US,183734,2021-02-03,ELEC
43.80047,-73.089478,7 Conant Square,VT,Brandon,05733,US,183756,2021-02-04,ELEC
43.646329,-72.332661,160 Sykes Mountain Ave,VT,White River Junction,05001,US,183870,2021-02-08,ELEC
44.419353,-72.01963,10 Thaddeus Ln,VT,Saint Johnsbury,05819,US,184945,2021-02-13,ELEC
43.821425,-72.520938,164 Chelsea Street,VT,South Royalton,05068,US,186174,2021-03-15,ELEC
44.461988,-73.220081,50 Lakeside Ave,VT,Burlington,05401,US,186311,2021-03-18,ELEC
44.46178,-73.220465,44 Lakeside Ave,VT,Burlington,05401,US,186312,2021-03-18,ELEC
44.462713,-73.219564,50 Lakeside Ave,VT,Burlington,05401,US,186313,2021-03-18,ELEC
44.462684,-73.219334,50 Lakeside Ave,VT,Burlington,05401,US,186314,2021-03-18,ELEC
44.462036,-73.219779,50 Lakeside Ave,VT,Burlington,05401,US,186315,2021-03-18,ELEC
43.382236,-72.6072,2140 Main Street,VT,Cavendish,05142,US,204882,2021-04-01,ELEC
44.474594,-73.195883,617 Main St,VT,Burlington,05401,US,187298,2021-04-10,ELEC
44.449692,-73.108969,31 Market Street,VT,Williston,05495,US,188999,2021-04-19,ELEC
44.477869,-73.217085,60 College St,VT,Burlington,05401,US,189293,2021-05-06,ELEC
44.477757,-73.217075,60 College St,VT,Burlington,05401,US,189294,2021-05-06,ELEC
43.630432,-72.97659,299 N Main St,VT,Rutland,05701,US,189303,2021-05-06,ELEC
44.138007,-72.662515,173 University Dr,VT,Northfield,05663,US,190015,2021-05-22,ELEC
44.138013,-72.662595,173 University Dr,VT,Northfield,05663,US,190016,2021-05-22,ELEC
44.450615,-73.10791,150 Market St,VT,Williston,05495,US,190460,2021-06-01,ELEC
44.450596,-73.10789,150 Market St,VT,Williston,05495,US,190459,2021-06-01,ELEC
44.92669,-72.182071,344 Citizens Rd,VT,Newport,05855,US,190728,2021-06-04,ELEC
42.976624,-72.513606,22 Robert Rhodes Lane,VT,Putney,05346,US,191015,2021-06-16,ELEC
43.135617,-72.444752,17 depot street,VT,Bellows falls,05101,US,191504,2021-06-25,ELEC
44.407171,-73.215109,85 Executive Dr,VT,Shelburne,05482,US,193398,2021-07-31,ELEC
