State,zip,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
VT,05819,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05641,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05667,6/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05443,1/1/2022,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,8,DMV Direct (1/25/2022),False
VT,05735,6/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05753,3/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05620,6/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05673,10/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05648,6/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05459,10/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05037,6/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05461,6/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05053,1/1/2022,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,8,DMV Direct (1/25/2022),False
VT,05032,1/1/2022,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,8,DMV Direct (1/25/2022),False
VT,05735,10/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05821,6/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05443,3/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05651,6/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05463,3/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05764,10/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05620,1/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05445,10/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05048,6/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05482,3/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05462,3/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05443,6/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05602,3/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05827,1/1/2022,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,8,DMV Direct (1/25/2022),False
VT,05753,6/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05489,10/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05620,1/1/2022,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,8,DMV Direct (1/25/2022),False
VT,05620,10/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05839,1/1/2022,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,8,DMV Direct (1/25/2022),False
VT,05037,1/1/2022,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,8,DMV Direct (1/25/2022),False
VT,05660,1/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05048,10/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05751,1/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05675,3/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05459,1/1/2022,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,8,DMV Direct (1/25/2022),False
VT,05648,1/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05764,1/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05651,1/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05465,10/1/2023,CHEVROLET,BOLT EV,2021,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
